descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Pastel, massa, frita;570;6,0;40,9;NA;49,3;1,3;11;62;1,4;1175;143; ;1
Pipoca, com óleo de soja, sem sal;448;9,9;15,9;NA;70,3;14,3;3;225;1,2;4;256;Tr;1
Polenta, pré-cozida;103;2,3;0,3;NA;23,3;2,4;1;17;Tr;442;100;Tr;1
Torrada, pão francês;377;10,5;3,3;NA;74,6;3,4;19;114;1,2;829;189;Tr;1
Abóbora, cabotian, cozida;48;1,4;0,7;NA;10,8;2,5;8;33;0,3;1;199;7,5;2
Abóbora, cabotian, crua;39;1,7;0,5;NA;8,4;2,2;18;26;0,4;Tr;351;5,1;2
Abóbora, menina brasileira, crua;14;0,6;Tr;NA;3,3;1,2;9;12;0,2;Tr;165;1,5;2
Abóbora, moranga, crua;12;1,0;0,1;NA;2,7;1,7;3;8;Tr;Tr;125;9,6;2
Abóbora, moranga, refogada;29;0,4;0,8;NA;6,0;1,5;19;12;0,1;3;183;6,7;2
Abóbora, pescoço, crua;24;0,7;0,1;NA;6,1;2,3;9;32;0,3;1;264;2,1;2
Abobrinha, italiana, cozida;15;1,1;0,2;NA;3,0;1,6;17;22;0,2;1;126;2,1;2
Abobrinha, italiana, crua;19;1,1;0,1;NA;4,3;1,4;15;32;0,2;Tr;253;6,9;2
Abobrinha, italiana, refogada;24;1,1;0,8;NA;4,2;1,4;21;32;0,4;2;194;7,5;2
Abobrinha, paulista, crua;31;0,6;0,1;NA;7,9;2,6;19;33;0,2;1;213;17,5;2
Acelga, crua;21;1,4;0,1;NA;4,6;1,1;43;40;0,3;1;240;22,6;2
Agrião, cru;17;2,7;0,2;NA;2,3;2,1;133;51;3,1;7;218;60,1;2
Aipo, cru;19;0,8;0,1;NA;4,3;1,0;65;28;0,7;10;274;5,9;2
Alface, americana, crua;9;0,6;0,1;NA;1,7;1,0;14;19;0,3;7;136;11,0;2
Alface, crespa, crua;11;1,3;0,2;NA;1,7;1,8;38;26;0,4;3;267;15,6;2
Alface, lisa, crua;14;1,7;0,1;NA;2,4;2,3;28;26;0,6;4;349;21,4;2
