descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Manteiga, com sal;726;0,4;82,4;201;0,1;NA;9;28;0,2;579;15;Tr;4
Manteiga, sem sal;758;0,4;86,0;214;0,0;NA;4;7;Tr;4;5;Tr;4
Margarina, com óleo hidrogenado, com sal (65% de lipídeos);596;Tr;67,4;NA;0,0;NA;6;7;0,1;894;21;Tr;4
Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);723;Tr;81,7;NA;0,0;NA;3;4;0,1;78;2;Tr;4
Margarina, com óleo interesterificado, com sal (65%de lipídeos);594;Tr;67,2;NA;0,0;NA;5;6;Tr;561;15;Tr;4
Margarina, com óleo interesterificado, sem sal (65% de lipídeos);593;Tr;67,1;NA;0,0;NA;5;7;0,1;33;5;Tr;4
Óleo, de babaçu;884;NA;100,0;NA;NA;NA;;;;;;;4
Óleo, de canola;884;NA;100,0;NA;NA;NA;;;;;;;4
Óleo, de girassol;884;NA;100,0;NA;NA;NA;;;;;;;4
Óleo, de milho;884;NA;100,0;NA;NA;NA;;;;;;;4
Óleo, de pequi;884;NA;100,0;NA;NA;NA;;;;;;;4
Óleo, de soja;884;NA;100,0;NA;NA;NA;;;;;;;4
Abadejo, filé, congelado, assado;112;23,5;1,2;103;0,0;NA;23;338;0,5;334;156;;5
Abadejo, filé, congelado,cozido;91;19,3;0,9;87;0,0;NA;17;351;0,3;189;146;;5
Abadejo, filé, congelado, cru;59;13,1;0,4;31;0,0;NA;10;91;0,1;79;148;;5
Abadejo, filé, congelado, grelhado;130;27,6;1,3;136;0,0;NA;20;581;0,3;305;279;;5
Atum, conserva em óleo;166;26,2;6,0;53;0,0;NA;7;211;1,2;362;280;;5
Atum, fresco, cru;118;25,7;0,9;48;0,0;NA;7;254;1,3;30;308;;5
Bacalhau, salgado, cru;136;29,0;1,3;139;0,0;NA;157;186;0,9;13585;434;;5
Bacalhau, salgado, refogado;140;24,0;3,6;112;1,2;*;59;51;0,2;1256;50;Tr;5
Cação, posta, com farinha de trigo, frita;208;25,0;10,0;75;3,1;0,5;30;462;1,0;160;420;;5
Cação, posta, cozida;116;25,6;0,7;83;0,0;NA;10;204;0,3;115;249;;5
Cação, posta, crua;83;17,9;0,8;36;0,0;NA;9;181;0,2;176;299;;5
Camarão, Rio Grande, grande, cozido;90;19,0;1,0;241;0,0;NA;90;266;1,3;367;102;;5
Camarão, Rio Grande, grande, cru;47;10,0;0,5;124;0,0;NA;51;234;0,7;201;72;;5
Camarão, Sete Barbas, sem cabeça, com casca, frito;231;18,4;15,6;283;2,9;NA;960;337;2,4;99;107;;5
Caranguejo, cozido;83;18,5;0,4;85;0,0;NA;357;154;2,9;360;186;Tr;5
Corimba, cru;128;17,4;6,0;40;0,0;NA;40;190;0,5;47;317;;5
Corimbatá, assado;261;19,9;19,6;80;0,0;NA;22;221;1,0;40;326;;5
Corimbatá, cozido;239;20,1;16,9;75;0,0;NA;65;185;0,6;37;254;;5
Corvina de água doce, crua;101;18,9;2,2;73;0,0;NA;39;154;0,3;45;293;;5
Corvina do mar, crua;94;18,6;1,6;67;0,0;NA;*;183;0,4;68;339;;5
Corvina grande, assada;147;26,8;3,6;117;0,0;NA;60;176;0,5;85;291;;5
Corvina grande, cozida;100;23,4;2,6;123;0,0;NA;69;164;0,6;68;194;;5
Dourada de água doce, fresca;131;18,8;5,6;52;0,0;NA;12;189;0,2;40;393;;5
Lambari, congelado, cru;131;16,8;6,5;159;0,0;NA;1181;696;0,9;48;244;;5
Lambari, congelado, frito;327;28,4;22,8;246;0,0;NA;1881;1067;0,8;65;331;;5
Lambari, fresco, cru;152;15,7;9,4;144;0,0;NA;590;441;0,6;41;207;;5
Manjuba, com farinha de trigo, frita;344;23,5;22,6;282;10,2;0,4;763;578;3,0;37;319;;5
Manjuba, frita;349;30,1;24,5;270;0,0;NA;575;735;0,9;41;318;;5
Merluza, filé, assado;122;26,6;0,9;91;0,0;NA;36;273;0,4;120;364;;5
Merluza, filé, cru;89;16,6;2,0;57;0,0;NA;20;185;0,2;80;340;;5
Merluza, filé, frito;192;26,9;8,5;109;0,0;NA;36;279;0,4;90;447;;5
Pescada, branca, crua;111;16,3;4,6;51;0,0;NA;16;136;0,2;76;261;;5
Pescada, branca, frita;223;27,4;11,8;165;0,0;NA;378;504;0,5;107;355;;5
Pescada, filé, com farinha de trigo, frito;283;21,4;19,1;73;5,0;Tr;26;216;0,9;91;216;;5
Pescada, filé, cru;107;16,7;4,0;65;0,0;NA;14;141;0,2;77;253;;5
Pescada, filé, frito;154;28,6;3,6;81;0,0;NA;10;204;0,3;115;249;;5
Pescada, filé, molho escabeche;142;11,8;8,0;43;5,0;0,8;20;105;1,5;51;208;6,9;5
Pescadinha, crua;76;15,5;1,1;84;0,0;NA;332;327;0,5;120;304;;5
Pintado, assado;192;36,5;4,0;126;0,0;NA;114;332;0,8;81;527;;5
Pintado, cru;91;18,6;1,3;50;0,0;NA;12;174;0,2;43;294;;5
Pintado, grelhado;152;30,8;2,3;99;0,0;NA;69;237;0,5;53;360;;5
Porquinho, cru;93;20,5;0,6;49;0,0;NA;26;207;0,4;67;313;;5
Salmão, filé, com pele, fresco,  grelhado;229;23,9;14,0;85;0,0;NA;29;300;0,5;85;384;;5
Salmão, sem pele, fresco, cru;170;19,3;9,7;53;0,0;NA;9;259;0,2;64;376;;5
Salmão, sem pele, fresco, grelhado;243;26,1;14,5;73;0,0;NA;15;352;0,4;96;518;;5
Sardinha, assada;164;32,2;3,0;109;0,0;NA;438;578;1,3;74;574;;5
Sardinha, conserva em óleo;285;15,9;24,0;73;0,0;NA;550;496;3,5;666;367;;5
Sardinha, frita;257;33,4;12,7;103;0,0;NA;482;629;1,1;60;460;;5
Sardinha, inteira, crua;114;21,1;2,7;61;0,0;NA;167;294;1,3;60;312;;5
Tucunaré, filé, congelado, cru;88;18,0;1,2;47;0,0;NA;19;168;0,3;57;288;;5
Apresuntado;129;13,5;6,7;38;2,9;NA;23;225;0,9;943;270;Tr;6
Caldo de carne, tablete;241;7,8;16,6;Tr;15,1;0,6;129;123;Tr;22180;218;;6
Caldo de galinha, tablete;251;6,3;20,4;2;10,6;11,8;16;48;0,7;22300;68;;6
Carne, bovina, acém, moído, cozido;212;26,7;10,9;103;0,0;NA;4;164;2,7;52;256;;6
Carne, bovina, acém, moído, cru;137;19,4;5,9;58;0,0;NA;3;158;1,8;49;237;;6
Carne, bovina, acém, sem gordura, cozido;215;27,3;10,9;107;0,0;NA;7;164;2,4;56;254;;6
Carne, bovina, acém, sem gordura, cru;144;20,8;6,1;53;0,0;NA;5;144;1,5;50;234;;6
Carne, bovina, almôndegas, cruas;189;12,3;11,2;34;9,8;*;22;145;1,6;621;328; ;6
Carne, bovina, almôndegas, fritas;272;18,2;15,8;36;14,3;*;27;244;1,9;1030;536;;6
Carne, bovina, bucho, cozido;133;21,6;4,5;245;0,0;NA;13;63;0,6;38;70;;6
Carne, bovina, bucho, cru;137;20,5;5,5;145;0,0;NA;9;61;0,5;45;85;;6
Carne, bovina, capa de contra-filé, com gordura, crua;217;19,2;15,0;63;0,0;NA;6;144;1,5;58;267;;6
Carne, bovina, capa de contra-filé, com gordura, grelhada;312;30,7;20,0;120;0,0;NA;7;214;2,6;81;323;;6
Carne, bovina, capa de contra-filé, sem gordura, crua;131;21,5;4,3;58;0,0;NA;6;178;2,0;79;325;;6
Carne, bovina, capa de contra-filé, sem gordura, grelhada;239;35,1;10,0;80;0,0;NA;9;287;2,8;83;385;;6
Carne, bovina, charque, cozido;263;36,4;11,9;113;0,0;NA;15;101;3,5;1443;90;;6
Carne, bovina, charque, cru;249;22,7;16,8;81;0,0;NA;15;122;1,5;5875;236;;6
Carne, bovina, contra-filé, à milanesa;352;20,6;24,0;99;12,2;0,4;15;203;2,9;77;271;;6
Carne, bovina, contra-filé de costela, cru;202;19,8;13,1;52;0,0;NA;3;164;1,6;39;245;;6
Carne, bovina, contra-filé de costela, grelhado;275;29,9;16,3;98;0,0;NA;4;252;2,8;51;383;;6
Carne, bovina, contra-filé, com gordura, cru;206;21,2;12,8;73;0,0;NA;4;164;1,3;44;285;;6
Carne, bovina, contra-filé, com gordura, grelhado;278;32,4;15,5;144;0,0;NA;4;219;2,4;57;352;;6
Carne, bovina, contra-filé, sem gordura, cru;157;24,0;6,0;59;0,0;NA;4;184;1,7;53;335;;6
Carne, bovina, contra-filé, sem gordura, grelhado;194;35,9;4,5;102;0,0;NA;5;241;2,4;58;386;;6
Carne, bovina, costela, assada;373;28,8;27,7;95;0,0;NA;28;179;2,2;92;270;;6
Carne, bovina, costela, crua;358;16,7;31,8;44;0,0;NA;*;130;1,2;70;151;;6
Carne, bovina, coxão duro, sem gordura, cozido;217;31,9;8,9;71;0,0;NA;4;189;1,7;41;252;;6
Carne, bovina, coxão duro, sem gordura, cru;148;21,5;6,2;60;0,0;NA;3;189;1,9;49;358;;6
Carne, bovina, coxão mole, sem gordura, cozido;219;32,4;8,9;84;0,0;NA;4;183;2,6;44;239;;6
Carne, bovina, coxão mole, sem gordura, cru;169;21,2;8,7;84;0,0;NA;3;175;1,9;61;335;;6
Carne, bovina, cupim, assado;330;28,6;23,0;91;0,0;NA;8;212;2,7;72;321;;6
Carne, bovina, cupim, cru;221;19,5;15,3;51;0,0;NA;4;220;1,1;47;151;;6
Carne, bovina, fígado, cru;141;20,7;5,4;393;1,1;NA;4;334;5,6;76;265;;6
Carne, bovina, fígado, grelhado;225;29,9;9,0;601;4,2;NA;6;420;5,8;82;309;;6
Carne, bovina, filé mingnon, sem gordura, cru;143;21,6;5,6;55;0,0;NA;3;193;1,9;49;322;;6
Carne, bovina, filé mingnon, sem gordura, grelhado;220;32,8;8,8;103;0,0;NA;4;308;2,9;58;326;;6
Carne, bovina, flanco, sem gordura, cozido;196;29,4;7,8;62;0,0;NA;4;181;2,8;42;249;;6
Carne, bovina, flanco, sem gordura, cru;141;20,0;6,2;50;0,0;NA;3;167;1,6;54;324;;6
Carne, bovina, fraldinha, com gordura, cozida;338;24,2;26,0;65;0,0;NA;3;161;2,0;39;207;;6
Carne, bovina, fraldinha, com gordura, crua;221;17,6;16,1;54;0,0;NA;3;131;1,5;51;274;;6
Carne, bovina, lagarto, cozido;222;32,9;9,1;56;0,0;NA;4;167;1,9;48;254;;6
Carne, bovina, lagarto, cru;135;20,5;5,2;56;0,0;NA;3;185;1,3;54;362;;6
Carne, bovina, língua, cozida;315;21,4;24,8;105;0,0;NA;6;136;2,1;59;175;;6
Carne, bovina, língua, crua;215;17,1;15,8;118;0,0;NA;5;164;1,7;73;251;;6
Carne, bovina, maminha, crua;153;20,9;7,0;51;0,0;NA;3;181;1,1;37;274;;6
Carne, bovina, maminha, grelhada;153;30,7;2,4;88;0,0;NA;4;237;2,4;58;386;;6
Carne, bovina, miolo de alcatra, sem gordura, cru;163;21,6;7,8;60;0,0;NA;3;165;2,0;43;299;;6
Carne, bovina, miolo de alcatra, sem gordura, grelhado;241;31,9;11,6;92;0,0;NA;5;279;3,2;52;385;;6
Carne, bovina, músculo, sem gordura, cozido;194;31,2;6,7;56;0,0;NA;5;176;2,4;62;253;;6
Carne, bovina, músculo, sem gordura, cru;142;21,6;5,5;51;0,0;NA;4;162;1,9;66;296;;6
Carne, bovina, paleta, com gordura, crua;159;21,4;7,5;58;0,0;NA;4;158;1,8;65;250;;6
Carne, bovina, paleta, sem gordura, cozida;194;29,7;7,4;56;0,0;NA;6;197;2,2;58;250;;6
Carne, bovina, paleta, sem gordura, crua;141;21,0;5,7;42;0,0;NA;4;163;1,9;66;319;;6
Carne, bovina, patinho, sem gordura, cru;133;21,7;4,5;56;0,0;NA;3;170;1,8;49;318;;6
Carne, bovina, patinho, sem gordura, grelhado;219;35,9;7,3;126;0,0;NA;5;289;3,0;60;421;;6
Carne, bovina, peito, sem gordura, cozido;338;22,2;27,0;100;0,0;NA;4;136;1,6;56;204;;6
Carne, bovina, peito, sem gordura, cru;259;17,6;20,4;59;0,0;NA;4;124;1,3;64;241;;6
Carne, bovina, picanha, com gordura, crua;213;18,8;14,7;60;0,0;NA;2;165;1,7;38;232;;6
Carne, bovina, picanha, com gordura, grelhada;289;26,4;19,5;92;0,0;NA;4;246;3,2;60;355;;6
Carne, bovina, picanha, sem gordura, crua;134;21,3;4,7;75;0,0;NA;3;183;2,1;61;322;;6
Carne, bovina, picanha, sem gordura, grelhada;238;31,9;11,3;100;0,0;NA;4;282;3,6;61;377;;6
Carne, bovina, seca, cozida;313;26,9;21,9;100;0,0;NA;13;82;1,9;1943;86;;6
Carne, bovina, seca, crua;313;19,7;25,4;92;0,0;NA;14;100;1,3;4440;190;;6
Coxinha de frango, frita;283;9,6;11,8;15;34,5;5,0;18;93;1,3;532;166;Tr;6
Croquete, de carne, cru;246;12,0;15,6;30;13,9;;15;144;2,5;711;221;Tr;6
Croquete, de carne, frito;347;16,9;22,7;38;18,1;;18;176;2,3;916;313;Tr;6
Empada de frango, pré-cozida, assada;358;6,9;15,6;23;47,5;2,2;16;78;1,2;525;138; ;6
Empada, de frango, pré-cozida;377;7,3;22,9;23;35,5;2,2;14;78;0,7;771;156; ;6
Frango, asa, com pele, crua;213;18,1;15,1;113;0,0;NA;11;155;0,6;96;211;;6
Frango, caipira, inteiro, com pele, cozido;243;23,9;15,6;110;0,0;NA;17;162;1,7;56;210;;6
Frango, caipira, inteiro, sem pele, cozido;196;29,6;7,7;106;0,0;NA;66;210;2,1;53;224;;6
Frango, coração, cru;222;12,6;18,6;159;0,0;NA;6;193;4,1;95;220;;6
Frango, coração, grelhado;207;22,4;12,1;280;0,6;NA;8;276;6,5;128;243;;6
Frango, coxa, com pele, assada;215;28,5;10,4;145;0,1;NA;8;251;1,2;95;318;;6
Frango, coxa, com pele, crua;161;17,1;9,8;97;0,0;NA;8;185;0,7;95;275;;6
Frango, coxa, sem pele, cozida;167;26,9;5,8;133;0,0;NA;12;187;0,8;64;191;;6
Frango, coxa, sem pele, crua;120;17,8;4,9;91;0,0;NA;8;196;0,8;98;291;;6
Frango, fígado, cru;106;17,6;3,5;341;0,0;NA;6;344;9,5;82;281;;6
Frango, filé, à milanesa;221;28,5;7,8;84;7,5;1,1;9;249;1,1;122;408;;6
Frango, inteiro, com pele, cru;226;16,4;17,3;85;0,0;NA;6;174;0,6;63;217;;6
Frango, inteiro, sem pele, assado;187;28,0;7,5;111;0,0;NA;9;233;0,6;70;283;;6
Frango, inteiro, sem pele, cozido;170;25,0;7,1;99;0,0;NA;8;194;0,5;51;217;;6
Frango, inteiro, sem pele, cru;129;20,6;4,6;78;0,0;NA;7;190;0,5;73;238;;6
Frango, peito, com pele, assado;212;33,4;7,6;109;0,0;NA;8;297;0,5;56;380;;6
Frango, peito, com pele, cru;149;20,8;6,7;80;0,0;NA;8;213;0,4;62;252;;6
Frango, peito, sem pele, cozido;163;31,5;3,2;89;0,0;NA;6;224;0,3;36;231;;6
Frango, peito, sem pele, cru;119;21,5;3,0;59;0,0;NA;7;222;0,4;56;267;;6
Frango, peito, sem pele, grelhado;159;32,0;2,5;89;0,0;NA;5;295;0,3;50;387;;6
Frango, sobrecoxa, com pele, assada;260;28,7;15,2;158;0,0;NA;11;252;1,2;96;323;;6
Frango, sobrecoxa, com pele, crua;255;15,5;20,9;88;0,0;NA;7;154;0,7;68;190;;6
Frango, sobrecoxa, sem pele, assada;233;29,2;12,0;145;0,0;NA;12;281;1,2;106;382;;6
Frango, sobrecoxa, sem pele, crua;162;17,6;9,6;84;0,0;NA;6;187;0,9;80;241;;6
Hambúrguer, bovino, cru;215;13,2;16,2;70;4,2;*;34;141;1,9;869;383;;6
Hambúrguer, bovino, frito;258;20,0;17,0;49;6,3;*;62;324;3,0;1252;660;;6
Hambúrguer, bovino, grelhado;210;13,2;12,4;59;11,3;*;56;263;2,6;1090;538;;6
Lingüiça, frango, crua;218;14,2;17,4;64;0,0;NA;11;182;0,5;1126;280;;6
Lingüiça, frango, frita;245;18,3;18,5;76;0,0;NA;15;262;0,8;1374;364;;6
Lingüiça, frango, grelhada;244;18,2;18,4;80;0,0;NA;14;228;0,7;1351;356;;6
Lingüiça, porco, crua;227;16,1;17,6;53;0,0;NA;6;157;0,4;1176;316;;6
Lingüiça, porco, frita;280;20,5;21,3;75;0,0;NA;8;211;0,9;1432;409;;6
Lingüiça, porco, grelhada;296;23,2;21,9;82;0,0;NA;8;210;1,0;1456;427;;6
Mortadela;269;12,0;21,6;83;5,8;NA;67;216;1,5;1212;247;;6
Peru, congelado, assado;163;26,2;5,7;91;0,0;NA;14;197;0,6;628;175;;6
Peru, congelado, cru;94;18,1;1,8;68;0,0;NA;10;217;0,9;711;281;;6
Porco, bisteca, crua;164;21,5;8,0;56;0,0;NA;6;195;0,5;54;335;;6
Porco, bisteca, frita;311;33,7;18,5;126;0,0;NA;69;290;0,8;63;404;;6
Porco, bisteca, grelhada;280;28,9;17,4;82;0,0;NA;34;229;0,9;51;366;;6
Porco, costela, assada;402;30,2;30,3;113;0,0;NA;17;201;1,0;63;246;;6
Porco, costela, crua;256;18,0;19,8;69;0,0;NA;15;159;0,9;88;248;;6
Porco, lombo, assado;210;35,7;6,4;103;0,0;NA;20;238;0,5;39;311;;6
Porco, lombo, cru;176;22,6;8,8;55;0,0;NA;4;195;0,5;53;334;;6
Porco, orelha, salgada, crua;258;18,5;19,9;83;0,0;NA;5;31;1,4;616;228;;6
Porco, pernil, assado;262;32,1;13,9;110;0,0;NA;18;247;1,3;62;395;;6
Porco, pernil, cru;186;20,1;11,1;59;0,0;NA;13;192;0,9;102;256;;6
Porco, rabo, salgado, cru;377;15,6;34,5;89;0,0;NA;22;42;0,6;1158;24;;6
Presunto, com capa de gordura;128;14,4;6,8;40;1,4;NA;12;274;0,7;1021;295;;6
Presunto, sem capa de gordura;94;14,3;2,7;36;2,1;NA;23;244;0,8;1039;307;;6
Quibe, assado;136;14,6;2,7;34;12,9;1,9;16;174;2,2;40;288;Tr;6
Quibe, cru;109;12,4;1,7;27;10,8;1,6;12;126;1,7;39;242;Tr;6
Quibe, frito;254;14,9;15,8;38;12,3;;22;166;2,0;836;322;Tr;6
Salame;398;25,8;30,6;85;2,9;NA;87;354;1,3;1574;548;;6
Toucinho, cru;593;11,5;60,3;73;0,0;NA;2;35;0,4;50;58;;6
Toucinho, frito;697;27,3;64,3;89;0,0;NA;9;95;0,9;125;171;;6
Bebida láctea, pêssego;55;2,1;1,9;5;7,6;0,3;89;63;Tr;46;62;2,1;7
Creme de Leite;221;1,5;22,5;66;4,5;NA;83;118;0,3;52;119;Tr;7
Iogurte, natural;51;4,1;3,0;14;1,9;NA;143;119;Tr;52;71;0,9;7
Iogurte, natural, desnatado;41;3,8;0,3;3;5,8;NA;157;110;Tr;60;182;0,3;7
Iogurte, sabor abacaxi;*;*;*;6;*;*;*;*;*;*;*;;7
Iogurte, sabor morango;70;2,7;2,3;7;9,7;0,2;101;73;Tr;38;52;Tr;7
Iogurte, sabor pêssego;68;2,5;2,3;8;9,4;0,7;95;66;0,1;37;52;Tr;7
Leite, condensado;313;7,7;6,7;28;57,0;NA;246;187;0,1;94;329;2,1;7
Leite, de cabra;66;3,1;3,8;14;5,2;NA;112;113;0,1;74;140;Tr;7
Leite, de vaca, achocolatado;83;2,1;2,2;6;14,2;0,6;70;71;0,5;72;155;3,3;7
Leite, de vaca, desnatado, pó;362;34,7;0,9;25;53,0;NA;1363;1673;0,9;432;1556;;7
Leite, de vaca, desnatado, UHT;*;*;*;4;*;NA;134;85;Tr;51;140;Tr;7
Leite, de vaca, integral;*;*;*;10;*;NA;123;82;Tr;64;133;Tr;7
Leite, de vaca, integral, pó;497;25,4;26,9;85;39,2;NA;890;1242;0,5;323;1132;*;7
Leite, fermentado;70;1,9;0,1;2;15,7;NA;72;63;Tr;33;94;0,5;7
Queijo, minas, frescal;264;17,4;20,2;62;3,2;NA;579;123;0,9;31;105;Tr;7
Queijo, minas, meia cura;321;21,2;24,6;76;3,6;NA;696;403;0,2;501;120;;7
Queijo, mozarela;330;22,6;25,2;80;3,0;NA;875;470;0,3;581;62;;7
Queijo, parmesão;453;35,6;33,5;106;1,7;NA;992;745;0,5;1844;96;Tr;7
Queijo, pasteurizado;303;9,4;27,4;82;5,7;NA;323;578;0,3;780;194;Tr;7
Queijo, petit suisse, morango;121;5,8;2,8;12;18,5;NA;731;448;0,1;412;121;Tr;7
Queijo, prato;360;22,7;29,1;91;1,9;NA;940;461;0,3;580;73;;7
Queijo, requeijão, cremoso;257;9,6;23,4;74;2,4;NA;259;448;0,1;558;93;Tr;7
Queijo, ricota;140;12,6;8,1;49;3,8;NA;253;162;0,1;283;112;Tr;7
Bebida isotônica, sabores variados;26;0,0;0,0;NA;6,4;NA;1;9;0,7;44;13;;8
Café, infusão 10%;9;0,7;0,1;NA;1,5;NA;3;9;Tr;1;156;;8
Cana, aguardente 1;216;;;NA;;NA;Tr;Tr;Tr;3;Tr;;8
Cana, caldo de;65;Tr;Tr;NA;18,2;0,1;9;5;0,8;Tr;18;2,8;8
Cerveja, pilsen 2;41;0,6;Tr;NA;3,3;NA;5;19;Tr;4;29;Tr;8
Chá, erva-doce, infusão 5%;1;0,0;0,0;NA;0,4;NA;2;1;Tr;1;10; ;8
Chá, mate, infusão 5%;3;0,0;0,1;NA;0,6;NA;1;Tr;Tr;Tr;5; ;8
Chá, preto, infusão 5%;2;0,0;0,0;NA;0,6;NA;0;2;Tr;Tr;13; ;8
Coco, água de;22;0,0;0,0;NA;5,3;0,1;19;4;Tr;2;162;2,4;8
Refrigerante, tipo água tônica;31;0,0;0,0;NA;8,0;NA;1;0;Tr;8;2;;8
Refrigerante, tipo cola;34;0,0;0,0;NA;8,7;NA;1;17;Tr;7;1;;8
Refrigerante, tipo guaraná;39;0,0;0,0;NA;10,0;NA;1;Tr;Tr;9;1;;8
Refrigerante, tipo laranja;46;0,0;0,0;NA;11,8;NA;2;1;Tr;9;16;;8
Refrigerante, tipo limão;40;0,0;0,0;NA;10,3;NA;2;Tr;Tr;9;4;;8
Omelete, de queijo;268;15,6;22,0;384;0,4;NA;166;314;1,4;216;127;Tr;9
Ovo, de codorna, inteiro, cru;177;13,7;12,7;568;0,8;NA;79;279;3,3;129;79; ;9
Ovo, de galinha, clara, cozida/10minutos;59;13,4;0,1;NA;0,0;NA;6;15;0,1;181;146; ;9
Ovo, de galinha, gema, cozida/10minutos;353;15,9;30,8;1272;1,6;NA;114;386;2,9;45;87; ;9
Ovo, de galinha, inteiro, cozido/10minutos;146;13,3;9,5;397;0,6;NA;49;184;1,5;146;139; ;9
Ovo, de galinha, inteiro, cru;143;13,0;8,9;356;1,6;NA;42;164;1,6;168;150; ;9
Ovo, de galinha, inteiro, frito;240;15,6;18,6;516;1,2;NA;73;422;2,1;166;184;Tr;9
Achocolatado, pó;401;4,2;2,2;Tr;91,2;3,9;44;200;5,4;65;496;Tr;10
Açúcar, cristal;387;0,3;Tr;NA;99,6;NA;8;Tr;0,2;Tr;3;;10
Açúcar, mascavo;369;0,8;0,1;NA;94,5;NA;127;38;8,3;25;522;Tr;10
Açúcar, refinado;387;0,3;Tr;NA;99,5;NA;4;Tr;0,1;12;6;;10
Chocolate, ao leite;540;7,2;30,3;17;59,6;2,2;191;212;1,6;77;355;Tr;10
Chocolate, ao leite, com castanha do Pará;559;7,4;34,2;16;55,4;2,5;171;303;1,5;64;431;1,4;10
Chocolate, ao leite, dietético;557;6,9;33,8;13;56,3;2,8;188;276;3,3;85;458;2,0;10
Chocolate, meio amargo;475;4,9;29,9;2;62,4;4,9;45;220;3,6;9;432;2,1;10
Cocada branca;449;1,1;13,6;NA;81,4;3,6;7;396;1,2;29;183;Tr;10
Doce, de abóbora, cremoso;199;0,9;0,2;NA;54,6;2,3;13;14;0,9;Tr;137;0,1;10
Doce, de leite, cremoso;306;5,5;6,0;20;59,5;NA;195;141;0,1;120;259;Tr;10
Geléia, mocotó, natural;106;2,1;0,1;Tr;24,2;NA;4;Tr;0,1;43;2;Tr;10
Glicose de milho;292;0,0;0,0;NA;79,4;NA;6;5;0,1;59;5; ;10
Maria mole;301;3,8;0,2;NA;73,6;0,7;13;4;0,4;15;24;Tr;10
Maria mole, coco queimado;307;3,9;0,1;NA;75,1;0,6;19;5;0,5;14;36;Tr;10
Marmelada;257;0,4;0,1;NA;70,8;4,1;11;20;0,7;11;83;Tr;10
Mel, de abelha;309;0,0;0,0;NA;84,0;NA;10;4;0,3;6;99;0,7;10
Melado;297;0,0;0,0;NA;76,6;NA;102;74;5,4;4;395;Tr;10
Quindim;411;4,7;24,4;271;46,3;3,2;37;168;1,4;27;111;Tr;10
Rapadura;352;1,0;0,1;NA;90,8;NA;30;21;4,4;22;459;Tr;10
Café, pó, torrado;419;14,7;11,9;NA;65,8;51,2;107;169;8,1;1;1609;Tr;11
Capuccino, pó;417;11,3;8,6;29;73,6;2,4;467;358;2,3;382;886;Tr;11
Fermento em pó, químico;90;0,5;0,1;NA;43,9;NA; ; ; ;10052; ; ;11
Fermento, biológico, levedura, tablete;90;17,0;1,5;NA;7,7;4,2;18;419;2,6;40;576;Tr;11
Gelatina, sabores variados, pó;380;8,9;Tr;NA;89,2;NA;27;2;0,3;235;7;40,0;11
Sal, dietético;NA;NA;NA;NA;NA;NA;;;;23432;20468;;11
Sal, grosso;NA;NA;NA;NA;NA;NA;;;;39943;;;11
Shoyu;61;3,3;0,3;NA;11,6;NA;15;47;0,5;5024;165;Tr;11
Tempero a base de sal;21;2,7;0,3;NA;2,1;0,6;;;;32560;;;11
Azeitona, preta, conserva;194;1,2;20,3;NA;5,5;4,6;59;16;5,5;1567;79;Tr;12
Azeitona, verde, conserva;137;0,9;14,2;NA;4,1;3,8;46;5;0,2;1347;20;Tr;12
Chantilly, spray, com gordura vegetal;315;0,5;27,3;Tr;16,9;NA;2;16;Tr;110;5;;12
Leite, de coco;166;1,0;18,4;NA;2,2;0,7;6;26;0,5;44;144;Tr;12
Maionese, tradicional com ovos;302;0,6;30,5;42;7,9;NA;3;14;0,1;787;16;Tr;12
Acarajé;289;8,3;19,9;25;19,1;9,4;124;142;1,9;305;354; ;13
Arroz carreteiro;154;10,8;7,1;36;11,6;1,5;13;48;1,0;1622;87; ;13
Baião de dois, arroz e feijão-de-corda;136;6,2;3,2;4;20,4;5,1;33;72;0,6;93;157;Tr;13
Barreado;165;18,3;9,5;60;0,2;0,1;15;169;2,4;48;295;Tr;13
Bife à cavalo, com contra filé;291;23,7;21,1;257;0,0;NA;26;216;2,1;83;272;;13
Bolinho de arroz;274;8,0;8,3;70;41,7;2,7;24;87;2,1;59;96;Tr;13
Camarão à baiana;101;7,9;6,0;117;3,2;0,4;43;244;1,4;85;139;4,1;13
Charuto, de repolho;78;6,8;1,1;21;10,1;1,5;23;68;0,9;12;184;4,8;13
Cuscuz, de milho, cozido com sal;113;2,2;0,7;NA;25,3;2,1;2;23;0,2;248;11;Tr;13
Cuscuz, paulista;142;2,6;4,6;15;22,5;2,4;14;26;0,3;236;53;Tr;13
Cuxá, molho;80;5,6;3,6;58;5,7;3,0;105;111;0,9;1344;124;10,3;13
Dobradinha;125;19,8;4,4;144;0,0;NA;11;57;1,0;29;58; ;13
Estrogonofe de carne;173;15,0;10,8;66;3,0;;28;186;2,7;123;322;Tr;13
Estrogonofe de frango;157;17,6;8,0;80;2,6;;26;195;1,5;99;307;Tr;13
Feijão tropeiro mineiro;152;10,2;6,8;68;19,6;3,6;41;199;2,2;365;349;Tr;13
Frango, com açafrão;113;9,7;6,2;50;4,1;0,2;13;167;0,8;29;256;5,3;13
